"GeneSymbol"	"C1_raw"	"C3_raw"	"C4_raw"	"C7_raw"	"C8_raw"	"A9_raw"	"A10_raw"	"A11_raw"	"A12_raw"	"A14_raw"	"A15_raw"	"A16_raw"	"A17_raw"
"A1BG"	62	78	125	154	91	71	55	93	135	128	150	164	108
"A2M"	5679.020262	5900	6911.162763	7641	3477.857839	5722.104449	7018.062247	5370	9623	12640	10217.11026	8920	5897
"NAT1"	12	5	15	14	11	8	8	18	11	9	16	26	2
"NAT2"	1	1	0	2	4	3	1	9	5	4	3	12	0
"SERPINA3"	2499.472103	156	334	195	220	431	1130.073451	325	1686	3885.254312	1027	8924.983699	538
"AADAC"	0	2	0	0	0	3	2	2	0	0	1	1	0
"AAMP"	1688.221422	950.1143891	2416.164246	3181.415469	2045.314715	1602.425621	1448.2442	1999.966919	1805.327057	2199.996721	1950.330397	3177.98939	1112
"AANAT"	13	12	5	9	11	9	5	20	9	14	17	23	10
"AARS"	8551.983673	5139	11213	15787.32004	9387.216936	7952.356867	6145	10553.14459	7864	9967	7456	15454.03108	5686
"ABAT"	5574	5211.917091	9458.975684	11621.26971	9082.66406	6017.988056	5639.95756	6942.255082	7339.980149	8292.365148	7511.37699	12810.83134	5372
"ABCA1"	2310	1548.00851	2096	2365	1634	1404.009629	2053	2319.006199	2844	2311	2598	2615	2028
"ABCA2"	21351.31226	12896	33208	25582.38078	16676	21050	13252	29140.14321	34405	30920	31153	26022.26026	20914
"ABCA3"	3563	3508	5996	7560	5561	3557	3546.929204	5198	4676	5846	4986	7880.089863	3624
"ABCB7"	698	420	857.8291646	893	579	602	489.0083016	754.9048941	833	897	719.9180776	1171.038825	490
"ABCF1"	1219.02778	945	1707.057308	2138.60024	1375.896869	1187.013679	930	1529	1527	1678	1365	2026	948.4622582
"ABCA4"	30	67	115	89	41	54	52	39	52	88	147	76	62
"ABL1"	1171	978	1767	1875	1201	1175	999	1556	1688	1896	1745	1835	1281
"ABP1"	2	3	2	2	1	0	2	3	0	0	3	1	3
"ABL2"	2171	1363	2835	3482	2723	2071	1908	2909	2598	2674	2134	3868	1628
"ABO"	7	13	10	21	2	1	5	3	14	11	17	22	8
"ABR"	9521.706313	9557.232763	14979.19526	19345.24831	13481.7759	8594.15055	8576.097186	10982.33097	11469.25626	13132.00187	12982.39939	18178.11216	8673.936475
"ACAA1"	836.480853	579.0120867	1102	935	874.4168633	551.0419402	738.7848373	866.920416	1154.357464	1196.710189	1008.920846	1097	666.5163551
"ACACA"	7128.881081	4879.786784	10073.27875	12251.10005	6768.903852	7883.601339	5544.017129	9391.529828	7363.790041	7644.768649	7281.057279	12294.40126	5361
"ACACB"	2208.027642	2051.036408	3450.004132	2168	2863.524188	1279	1256.529412	2538.402031	3154	1617	2505	2508	1915
"ACADL"	122	79	78	139	130	119	131	122	169	180	135	196	71
"ACADM"	1366.060444	1111.946009	1743.727348	2368.119494	1385.666507	1409.110654	1138.979762	1610.039815	1929.760214	2163	1484.616611	1992.707757	902
"ACADS"	138	155	311	334	283.6454711	196	157	184	265	284	356	322	183
"ACADSB"	1514	972	1351	2433.594366	1931.775634	1580.610906	1547.898066	1201	2062.576774	2287.023029	1728.96534	2515.009959	1022
"ACADVL"	2506.056941	2657.916329	5433.000601	4364.038671	3067.742343	2044.452911	2163.630274	3666.148318	3507.242619	3359.427047	3515.100893	4932.883107	3060.998017
"ACAT1"	1473.028634	919	1941.124683	2400	1612.157446	1596.078732	1353	1620	1866	2113	1487.116112	2259.948822	886
"ACAT2"	853	502	1319	2124.078646	1114	1394	1026	1033	1105.988372	1361	1185	1808	673
"ACCN1"	440	345	643	874	628	458	386	457	483	408	517	769	303
"ACCN2"	558	434	795	941	658	453	372	701	675	832	568	833	535
"ACHE"	274	252	411	510	429	270	250	380	216.9534884	290	382	593.6386894	200
"ACLY"	3386.207982	2025	4581.392132	6042.492649	4045.233155	3484	2808.979574	4010.211649	3573.43801	4576.450193	3326.592815	6175.593916	2250.445427
"ACO1"	1048.972603	981	1653	1607.930243	1038.967102	970	845.9606019	1310	1445	1620.980372	1295	1913	1031
"ACR"	7	5	7	1	14	2	6	10	1	5	5	0	5
"ACO2"	5749.002444	5105	9356	10488	7555	5740	4173	7549.278269	7811	9661	6499	10396	4697
"ACOX1"	2706	1887	3041.125994	4108.984024	3243	2743.943981	2418.860827	3028	3558.910995	3802.019737	3225.024755	4653.055009	2082
"ACP1"	785	470.919705	996.9731298	1650.089988	1034.967564	788	821.9527319	719.0678373	809	1004	910	1361	451
"ACP2"	476	378.7522136	503.0404285	924.8864507	660	435	506.0275523	429	592.8911022	697	609.0632863	862.8032306	397
"ACP5"	12	17	35	20	16	19	18	21	23	33	38	28	16
"ACPP"	12	7	9	10	22	23.00546093	36	13	26	43	28	70.39565585	25
"ACRV1"	7	7	8	27	12	9	5	6	11	23	12	20	8
"ACTA1"	19	10	14	45	9	10	12	15	28	28	10	28	7
"ACTA2"	592	368	379	608	523	255	373	356	409	929	473	748	278
"ACTB"	19245	12609	22216	30006.86188	22046.84371	15958	17620.72549	18465.31251	24253.66827	27815.69615	27133	32371	14377
"ACTC1"	69	39	65	105	69	70	65	56	58	81	44	103	28
"ACTG1"	8353	6741	10897	17714	12370	8205	9479	8285	12461	16263	15351	19038	6678
"ACTG2"	8	3	5	10	15	0	19	6	9	40	7	23	11
"ACTN4"	3543	3140.707592	6076.135076	5498.224431	3454.291535	3086.442046	2830.014771	4711	4174.195034	5780.704545	5286.205357	6363.536965	3331.229268
"ACTL6A"	371	217	436	351	216	369	204	462	423	420	357	497	294
"ACTN1"	2872.797231	2912	5378.032988	4962.614996	3642.880631	2470.097376	2492.005014	4470.03539	3535.423046	4157.279784	3732.042429	6744.931359	3185.727087
"ACTN2"	1587.367347	1268	2405	2832.522523	1825	1539.11737	953.5789474	1708	1837.708333	1904	1690	2605.544304	1302
"ACTN3"	9	18	30	21	24	21	17	26	33	27	15	29	16
"ACVR1"	464	278	470	630	338	399	259	506	466	715	399	596	316
"ACVR1B"	1334.008057	863	1484	2374.853285	1713	1086	1078	1413	1366.107025	1725	1365	2533.920445	855
"ACVR2A"	1181	784	1463	2275	1409	1126	1052	1309	1499	1543	1488	2226	905
"ACVR2B"	1096	828	1230	1676	1010	984	929	1207	1362	1350	1150	1813	842
"ACVRL1"	225	229	293	218	153	142	206	289	405	463	380	696	186
"ACY1"	179	173	235.0248334	261.7803066	229	240.0083458	180.283806	174	266	399.8677765	291.2859217	302	164
"ACYP1"	188	119	303	342	173	203	156	216	191	242	260	330	111
"ACYP2"	521	308	770	917	660	531	546	649	650	783	592	724	401
"ADA"	81.00225754	68	250.4242564	145	59	69	58	201	186.011095	158	120.707694	121	110
"ADAM8"	47	88	75	85	79.48337683	46	53	98	113	105	123	118	87
"ADAM10"	3672.032098	2104	3483.131046	4524.650602	3143.107995	3214	2628.075743	3891	4277.271543	4185.989071	3456.946358	5169.406185	2447
"ADAR"	8025	5458	10072	14244	9444	7501	7181	8391	8849	10140	9004	14390	6028
"ADARB1"	1294	1248	1865	2235	1491	1190.003005	1245.001062	1671	1475.004376	1742	1267	2163	1043
"ADARB2"	590	344	788	678	598	666	381	629	1051	631	727	665	603
"ADCY1"	7951	8103	12423	18457	13446	9567	8821	9770	9622	11959	10466	18354	7527
"ADCY2"	4771.332468	3990.678476	6263	9837.959251	6034.198355	4684	4730.054183	5302.146685	6908.131039	6346	5514.066876	10838.39379	3993
"ADCY3"	1976	1491	2461	2722	2343.86357	1643	1548	2363	2065	2433	1912.155775	3388.988764	1524
"ADCY5"	1891	1855	3224	3527	2591	1851	1706	2661	2919	3407	3064	3596	1918
"ADCY6"	889	1006	1344	1398	946	752	684	1168	1042	1163.05065	1032	1637	847
"ADCY7"	399	312	616	724	631	758	454	652	701	570	874	973	588
"ADCY8"	576	399	649	973	661	621	643	665	685	704	705	1141	553
"ADCY9"	919.0145169	1000	1531	1654	1101.0202	890.0447114	916	1191	986	1243.015321	1292	2014	1039
"ADCYAP1"	298	260	279	479	337	283	370	220	189	192	347	426	142
"ADCYAP1R1"	1587.92	1380	2176	2940	2031.013657	1522	1768.009201	1893.800428	2332	2290	2678.791312	3061.826625	1707
"ADD1"	8255.014862	5659.341215	10256.99251	11409.52729	9014.575756	6700.098863	7566.701921	8475.059173	10657.01461	12198.35192	9504.708427	12348.88385	5755
"ADD2"	3322	3448	5972	7621	5812	3863	3883	4612	4845	5645	4613	7625	3108
"ADD3"	8651.200962	7385.331632	10683.90777	12393.86872	9325.743004	8960.059305	7662.105278	9336.340634	14513.53274	14561.63168	13288.70817	13879.46619	8568
"ADFP"	208	127	419	181	187	142	197	243	346	226	223	424	186
"ADH1A"	3	0	3	6	4	2	3	4	6	11	8	8	5
"ADH1B"	66	41	91	18	70	29	63	59	67	51	29.33643065	65	68
"ADH1C"	28	25	38	6	13	14	8	26	10	14	6	20	19
"ADH4"	5	5	3	11	3	3	3	2	8	4	11	5	2
"ADH5"	856	637	1031	1695	1078	948	987	1030	1219	1199	1212	1575	729
"ADH6"	7	4	14	3	0	9	3	4	14	13	12	14	7
"ADH7"	0	0	0	0	0	0	0	0	0	2	0	0	0
"ADK"	710	495	1112	1360	814	900	890	891	1083	1215	815	1304	660
"ADM"	50	27	212	51	41	110	99	90	79	50	110	59	76
"ADORA1"	541	414	819	1337	642.4347826	618	399	779	768	932	847.1057802	1091	619
"ADORA2A"	45	67	127	92	48	53	54	125	66	81	84	126	83
"ADORA2B"	88	97	89	131	103	59	91	85	140	228	123	210	114
"ADORA3"	417	119	352	107	409	348	291	338	586	326	376	405	233
"ADPRH"	64	27	58	33	41	28	45	53	64	77	56	69	44
"PARP1"	3839	2489	5477	6439	3839	3775	3346	4959	4815	5306	4172	5565	2855
"PARP4"	1175	672	1464	1293	856	1149	1043	1404	2023	2005	1544	1753	949
"ADRA1D"	25	16	25	25	25	18	24	20	24	22	22	52	15
"ADRA1B"	171	116	159	311	133	91	120	140	138	110	198	263	111
"ADRA1A"	177	144	220	295	186	164	164	248	287	177	225	228	178
"ADRA2A"	68	67	133	327	118	89	64	94	127	101	116	203	69
"ADRA2B"	16	9	13	11	11	6	18	30	23	10	19	17	19
"ADRA2C"	36	22	59	95	44	26	38	60	62	64	59	77	46
"ADRB1"	225	203	308	466	323	188	219	232	251	344	274	406	207
"ADRB2"	72	79	88	78	71	61	55	130	144	91	129	127	63
"ADRB3"	3	2	7	3	7	4	2	4	5	8	11	12	3
"ADRBK1"	2215	2345.05912	3911.357573	5138.936025	3727.7881	2403.09197	2090	3056.458334	3150.184598	3501.544186	3987.951536	5071.964862	2418
"ADRBK2"	3402.631182	2979	5226	8036.832766	5244.64561	4535.632619	3663.011814	4678	4264	4655.504477	3532.863232	6756.374734	2600
"ADSL"	486.9568594	330	693.764115	922.8423341	550.8447646	437.9574468	537.5933114	627	643.9042367	620	580.7481467	831.8001258	324
"ADSS"	1820	984	2274	2740	1807	2281	1778	1683	2602	2411	1644	2329	1056
"AP2A1"	3636	2973	5322	6964	5437	3281	3018	4045	4160	4949	4841	7032	3103
"AP2A2"	3620.178517	2719	5398.326642	7121.378135	4779.313374	3334.109211	2863	4028.329215	3563.228222	4444.019694	4129	6918.974143	2772.8604
"AP1B1"	2103	1510	2967	3655	2672	1888	1767	2293	2377	2804	2313	3669	1502
"AP2B1"	8890	5574	10808	14914	8834	8261.007768	7429	9428	9024.003163	10436	7859	14410	5128
"AP1G1"	3925.266888	2257	5369.960205	6553.942093	3772.888963	3825.978338	3588	4412.120657	4642.456323	4643.976819	3713.841375	6169.894015	2725
"AEBP1"	693	671	571	1794	632	919	623	1151	729	1140	1273	1888	571
"AES"	5542	4526	8713	13140	8060	5031	5197	6215	6418	7344	7942	11218	5322
"AFG3L1"	321	370	473	435	412	270	325	433	617	484	493	447	394
"AFP"	3	1	8	12	10	7	10	5	6	5	11	14	9
"AGA"	342.96	183.7337793	270.0443753	444.6904421	425.6194648	300	242	187	565	482.6984277	592.1851553	329	193
"ACAN"	125	28	116	101	80	41	63	127	114	80	66	233	91
"AGER"	33	37	56	72	53	41	40	49	60	59	62	50	47
"AGL"	2193	1878	2869	4215	2767	2508	2572	2169	3307	3726	3343	4016	1750
"AGRP"	17	13	30	19	3	12	10	18	12	19	25	18	19
"JAG1"	555	533	744	938.6477973	515.0235796	440.9285714	494	734.9354839	650	1046.905002	658	1144.95122	568
"AGT"	3223.995772	1704	2675.995699	4046.131864	3328.961724	2530	3152.210248	2582	4378	6059.46798	4595.194704	4958.421119	3157
"AGTR1"	0	1	1	5	1	2	9	4	4	3	1	7	2
"AGTR2"	0	0	1	0	0	1	0	0	0	0	0	0	0
"APLNR"	455	201	642	594	594	683	472	352	1432	1196	1348	3161	626
"NR0B1"	4	6	3	14	7	5	6	8	7	7	14	12	4
"AHCY"	715	465	1023	1251	850	581	586	872	726	961	821	1296	504
"AHR"	988	417	1127	1446	934	1086	691	892	1316	1887	1109	1459	677
"AHSG"	3	2	2	3	2	0	2	1	1	2	8	7	1
"AIF1"	77	20	43	24	33	37	73	64	91	88	90	135	36
"AIM1"	198	159	207	151	146	124	138	176	276	276	209	223	129
"AK1"	662	529	1002	1335	915	684	693	701	839	889	1034	1190	626
"AK2"	639	422	749	777	506	572	509	625	913	845	683.5134732	765.753819	492
"AK3L1"	221	175	306	383	257	172	212	303	282	284	324	365	188
"AKT1"	1570	1287	2247	2662	2013	1246	1275	1728	1995	2287	1987	2903	1404
"AKT2"	1185.893583	1330.134248	1881	1853.585963	1172.019473	1006	777.9518714	1425.074896	1777.007143	1595.046994	1818.995423	2031.997381	1441
"ALAD"	1077	859.8867345	1626.836945	2030.940932	1332.906631	1250.876061	1090.990115	1477.995546	1495.881349	1838.961713	2115.838556	1864.92415	978
"ALAS1"	947	664	1683.205145	1981	1240	1160	898.0579608	1223	1172.030156	1570.095326	1098.087078	2006	746
"ALAS2"	35	21	24	26	26	21	15	77	15	67	17	54	21
"ALB"	17	19	11	49	107.7106336	36	43	9	40	69	54	36	8
"ALCAM"	5422.1936	2325.491455	6597.676234	6813.044685	4180.857706	5950.109788	4006.557951	6521.094734	6650.010648	6162.211404	5535.75811	6451.460421	3592
"ABCD1"	73	64	113	83	76	48	64	96	147	107	73	108	82
"ALDH1A1"	1053	855	1240.97202	2073.978897	1285.209685	1178	743	871.9895833	2031.994048	1689.980583	1180	1732.987271	872
