GeneSymbol	C1_raw	C2_raw	C3_raw	C4_raw	C5_raw	C6_raw	C7_raw	C8_raw	A9_raw	A10_raw	A11_raw	A12_raw	A13_raw	A14_raw	A15_raw	A16_raw	A17_raw
A1BG	62.0	98.0	78.0	125.0	70.0	92.0	154.0	91.0	71.0	55.0	93.0	135.0	146.0	128.0	150.0	164.0	108.0
A2M	5679.020262	1277.0	5900.0	6911.162763	9676.0	11454.0	7641.0	3477.857839	5722.104449	7018.062247	5370.0	9623.0	7084.112229	12640.0	10217.11026	8920.0	5897.0
NAT1	12.0	2.0	5.0	15.0	16.0	25.0	14.0	11.0	8.0	8.0	18.0	11.0	8.0	9.0	16.0	26.0	2.0
NAT2	1.0	0.0	1.0	0.0	1.0	8.0	2.0	4.0	3.0	1.0	9.0	5.0	0.0	4.0	3.0	12.0	0.0
SERPINA3	2499.472103	32.0	156.0	334.0	1012.0	5654.0	195.0	220.0	431.0	1130.073451	325.0	1686.0	3858.04091	3885.254312	1027.0	8924.983699	538.0
AADAC	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0
AAMP	1688.221422	521.8795181	950.1143891	2416.164246	623.0	2631.334144	3181.415469	2045.314715	1602.425621	1448.2442	1999.966919	1805.327057	1020.0	2199.996721	1950.330397	3177.98939	1112.0
AANAT	13.0	10.0	12.0	5.0	12.0	5.0	9.0	11.0	9.0	5.0	20.0	9.0	31.0	14.0	17.0	23.0	10.0
AARS	8551.983673	2509.0	5139.0	11213.0	3639.0	11337.0	15787.32004	9387.216936	7952.356867	6145.0	10553.14459	7864.0	7800.0	9967.0	7456.0	15454.03108	5686.0
ABAT	5574.0	1238.0	5211.917091	9458.975684	5062.0	7930.0	11621.26971	9082.66406	6017.988056	5639.95756	6942.255082	7339.980149	6079.110808	8292.365148	7511.37699	12810.83134	5372.0
ABCA1	2310.0	1029.0	1548.00851	2096.0	3267.0	2267.0	2365.0	1634.0	1404.009629	2053.0	2319.006199	2844.0	2438.0	2311.0	2598.0	2615.0	2028.0
ABCA2	21351.31226	24160.0	12896.0	33208.0	23491.0	9489.0	25582.38078	16676.0	21050.0	13252.0	29140.14321	34405.0	22984.0	30920.0	31153.0	26022.26026	20914.0
ABCA3	3563.0	2162.0	3508.0	5996.0	2533.0	4196.0	7560.0	5561.0	3557.0	3546.929204	5198.0	4676.0	3881.0	5846.0	4986.0	7880.089863	3624.0
ABCB7	698.0	205.0	420.0	857.8291646	528.0423682	806.0	893.0	579.0	602.0	489.0083016	754.9048941	833.0	587.0	897.0	719.9180776	1171.038825	490.0
ABCF1	1219.02778	818.0	945.0	1707.057308	993.5585505	1290.713793	2138.60024	1375.896869	1187.013679	930.0	1529.0	1527.0	1265.0	1678.0	1365.0	2026.0	948.4622582
ABCA4	30.0	73.0	67.0	115.0	76.0	39.0	89.0	41.0	54.0	52.0	39.0	52.0	61.0	88.0	147.0	76.0	62.0
ABL1	1171.0	957.0	978.0	1767.0	1795.0	1315.0	1875.0	1201.0	1175.0	999.0	1556.0	1688.0	2151.0	1896.0	1745.0	1835.0	1281.0
ABP1	2.0	0.0	3.0	2.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	0.0	7.0	0.0	3.0	1.0	3.0
ABL2	2171.0	518.0	1363.0	2835.0	1385.0	2910.0	3482.0	2723.0	2071.0	1908.0	2909.0	2598.0	1743.0	2674.0	2134.0	3868.0	1628.0
ABO	7.0	6.0	13.0	10.0	20.0	9.0	21.0	2.0	1.0	5.0	3.0	14.0	23.0	11.0	17.0	22.0	8.0
ABR	9521.706313	4702.0	9557.232763	14979.19526	6476.088392	10045.9349	19345.24831	13481.7759	8594.15055	8576.097186	10982.33097	11469.25626	10843.76782	13132.00187	12982.39939	18178.11216	8673.936475
ACAA1	836.480853	660.0	579.0120867	1102.0	664.74375	921.6392058	935.0	874.4168633	551.0419402	738.7848373	866.920416	1154.357464	876.0	1196.710189	1008.920846	1097.0	666.5163551
ACACA	7128.881081	2067.0	4879.786784	10073.27875	3626.0	7213.622482	12251.10005	6768.903852	7883.601339	5544.017129	9391.529828	7363.790041	5913.816863	7644.768649	7281.057279	12294.40126	5361.0
ACACB	2208.027642	2681.0	2051.036408	3450.004132	3109.0	1217.0	2168.0	2863.524188	1279.0	1256.529412	2538.402031	3154.0	4096.666667	1617.0	2505.0	2508.0	1915.0
ACADL	122.0	11.0	79.0	78.0	196.0	162.0	139.0	130.0	119.0	131.0	122.0	169.0	123.0	180.0	135.0	196.0	71.0
ACADM	1366.060444	325.0	1111.946009	1743.727348	887.0416261	1543.0	2368.119494	1385.666507	1409.110654	1138.979762	1610.039815	1929.760214	975.6269957	2163.0	1484.616611	1992.707757	902.0
ACADS	138.0	101.0	155.0	311.0	181.0	274.0	334.0	283.6454711	196.0	157.0	184.0	265.0	137.0	284.0	356.0	322.0	183.0
ACADSB	1514.0	275.0	972.0	1351.0	577.4883721	1538.005639	2433.594366	1931.775634	1580.610906	1547.898066	1201.0	2062.576774	719.0	2287.023029	1728.96534	2515.009959	1022.0
ACADVL	2506.056941	3047.400374	2657.916329	5433.000601	2755.463653	3176.994351	4364.038671	3067.742343	2044.452911	2163.630274	3666.148318	3507.242619	4195.531013	3359.427047	3515.100893	4932.883107	3060.998017
ACAT1	1473.028634	266.0	919.0	1941.124683	867.0	1605.0	2400.0	1612.157446	1596.078732	1353.0	1620.0	1866.0	910.0	2113.0	1487.116112	2259.948822	886.0
ACAT2	853.0	144.0	502.0	1319.0	365.0	1268.0	2124.078646	1114.0	1394.0	1026.0	1033.0	1105.988372	405.0	1361.0	1185.0	1808.0	673.0
ACCN1	440.0	161.0	345.0	643.0	149.0	571.0	874.0	628.0	458.0	386.0	457.0	483.0	219.0	408.0	517.0	769.0	303.0
ACCN2	558.0	530.0	434.0	795.0	551.0	450.0	941.0	658.0	453.0	372.0	701.0	675.0	610.0	832.0	568.0	833.0	535.0
ACHE	274.0	133.0	252.0	411.0	180.0	444.0	510.0	429.0	270.0	250.0	380.0	216.9534884	371.0	290.0	382.0	593.6386894	200.0
ACLY	3386.207982	652.0	2025.0	4581.392132	1362.0	4501.0	6042.492649	4045.233155	3484.0	2808.979574	4010.211649	3573.43801	2067.31676	4576.450193	3326.592815	6175.593916	2250.445427
ACO1	1048.972603	679.0	981.0	1653.0	1075.0	1374.0	1607.930243	1038.967102	970.0	845.9606019	1310.0	1445.0	1382.0	1620.980372	1295.0	1913.0	1031.0
ACR	7.0	1.0	5.0	7.0	0.0	5.0	1.0	14.0	2.0	6.0	10.0	1.0	6.0	5.0	5.0	0.0	5.0
ACO2	5749.002444	1906.0	5105.0	9356.0	3622.0	5275.0	10488.0	7555.0	5740.0	4173.0	7549.278269	7811.0	6071.0	9661.0	6499.0	10396.0	4697.0
ACOX1	2706.0	335.0	1887.0	3041.125994	2049.849462	3084.0	4108.984024	3243.0	2743.943981	2418.860827	3028.0	3558.910995	2218.0	3802.019737	3225.024755	4653.055009	2082.0
ACP1	785.0	87.0	470.919705	996.9731298	333.0	1038.0	1650.089988	1034.967564	788.0	821.9527319	719.0678373	809.0	360.0	1004.0	910.0	1361.0	451.0
ACP2	476.0	245.0	378.7522136	503.0404285	239.0	805.0	924.8864507	660.0	435.0	506.0275523	429.0	592.8911022	288.0	697.0	609.0632863	862.8032306	397.0
ACP5	12.0	9.0	17.0	35.0	22.0	50.0	20.0	16.0	19.0	18.0	21.0	23.0	42.0	33.0	38.0	28.0	16.0
ACPP	12.0	2.0	7.0	9.0	32.0	105.0	10.0	22.0	23.00546093	36.0	13.0	26.0	34.0	43.0	28.0	70.39565585	25.0
ACRV1	7.0	6.0	7.0	8.0	3.0	13.0	27.0	12.0	9.0	5.0	6.0	11.0	10.0	23.0	12.0	20.0	8.0
ACTA1	19.0	5.0	10.0	14.0	2.0	19.0	45.0	9.0	10.0	12.0	15.0	28.0	10.0	28.0	10.0	28.0	7.0
ACTA2	592.0	68.0	368.0	379.0	942.0	1001.0	608.0	523.0	255.0	373.0	356.0	409.0	670.0	929.0	473.0	748.0	278.0
ACTB	19245.0	4410.0	12609.0	22216.0	9014.999598	32285.0	30006.86188	22046.84371	15958.0	17620.72549	18465.31251	24253.66827	10738.69795	27815.69615	27133.0	32371.0	14377.0
ACTC1	69.0	15.0	39.0	65.0	15.0	86.0	105.0	69.0	70.0	65.0	56.0	58.0	37.0	81.0	44.0	103.0	28.0
ACTG1	8353.0	2101.0	6741.0	10897.0	5099.0	14215.0	17714.0	12370.0	8205.0	9479.0	8285.0	12461.0	5752.0	16263.0	15351.0	19038.0	6678.0
ACTG2	8.0	0.0	3.0	5.0	22.0	81.0	10.0	15.0	0.0	19.0	6.0	9.0	19.0	40.0	7.0	23.0	11.0
ACTN4	3543.0	3279.034594	3140.707592	6076.135076	3782.370337	3202.0	5498.224431	3454.291535	3086.442046	2830.014771	4711.0	4174.195034	4505.091143	5780.704545	5286.205357	6363.536965	3331.229268
ACTL6A	371.0	60.0	217.0	436.0	459.0	372.0	351.0	216.0	369.0	204.0	462.0	423.0	462.0	420.0	357.0	497.0	294.0
ACTN1	2872.797231	2781.439605	2912.0	5378.032988	2412.0	4957.0	4962.614996	3642.880631	2470.097376	2492.005014	4470.03539	3535.423046	3560.0	4157.279784	3732.042429	6744.931359	3185.727087
ACTN2	1587.367347	2206.342733	1268.0	2405.0	674.0	1775.0	2832.522523	1825.0	1539.11737	953.5789474	1708.0	1837.708333	949.0	1904.0	1690.0	2605.544304	1302.0
ACTN3	9.0	6.0	18.0	30.0	23.0	7.0	21.0	24.0	21.0	17.0	26.0	33.0	45.0	27.0	15.0	29.0	16.0
ACVR1	464.0	172.0	278.0	470.0	570.0	552.0	630.0	338.0	399.0	259.0	506.0	466.0	598.0	715.0	399.0	596.0	316.0
ACVR1B	1334.008057	272.0	863.0	1484.0	487.0	1780.0	2374.853285	1713.0	1086.0	1078.0	1413.0	1366.107025	808.0	1725.0	1365.0	2533.920445	855.0
ACVR2A	1181.0	166.0	784.0	1463.0	650.0	1731.0	2275.0	1409.0	1126.0	1052.0	1309.0	1499.0	779.0	1543.0	1488.0	2226.0	905.0
ACVR2B	1096.0	321.0	828.0	1230.0	1058.0	1148.0	1676.0	1010.0	984.0	929.0	1207.0	1362.0	963.0	1350.0	1150.0	1813.0	842.0
ACVRL1	225.0	124.0	229.0	293.0	659.0	404.0	218.0	153.0	142.0	206.0	289.0	405.0	460.0	463.0	380.0	696.0	186.0
ACY1	179.0	82.0	173.0	235.0248334	165.0	202.0	261.7803066	229.0	240.0083458	180.283806	174.0	266.0	175.1277447	399.8677765	291.2859217	302.0	164.0
ACYP1	188.0	38.0	119.0	303.0	71.0	264.0	342.0	173.0	203.0	156.0	216.0	191.0	114.0	242.0	260.0	330.0	111.0
ACYP2	521.0	152.0	308.0	770.0	284.0	713.0	917.0	660.0	531.0	546.0	649.0	650.0	321.0	783.0	592.0	724.0	401.0
ADA	81.00225754	92.0	68.0	250.4242564	130.0	82.0	145.0	59.0	69.0	58.0	201.0	186.011095	222.0	158.0	120.707694	121.0	110.0
ADAM8	47.0	153.0	88.0	75.0	164.0	98.0	85.0	79.48337683	46.0	53.0	98.0	113.0	138.0	105.0	123.0	118.0	87.0
ADAM10	3672.032098	1069.0	2104.0	3483.131046	3045.0	3340.974684	4524.650602	3143.107995	3214.0	2628.075743	3891.0	4277.271543	2873.0	4185.989071	3456.946358	5169.406185	2447.0
ADAR	8025.0	2669.0	5458.0	10072.0	4761.0	18845.0	14244.0	9444.0	7501.0	7181.0	8391.0	8849.0	7467.0	10140.0	9004.0	14390.0	6028.0
ADARB1	1294.0	472.0	1248.0	1865.0	728.0	1598.0	2235.0	1491.0	1190.003005	1245.001062	1671.0	1475.004376	1449.0	1742.0	1267.0	2163.0	1043.0
ADARB2	590.0	449.0	344.0	788.0	436.0	506.0	678.0	598.0	666.0	381.0	629.0	1051.0	987.0	631.0	727.0	665.0	603.0
ADCY1	7951.0	2741.0	8103.0	12423.0	3928.0	11184.0	18457.0	13446.0	9567.0	8821.0	9770.0	9622.0	6570.0	11959.0	10466.0	18354.0	7527.0
ADCY2	4771.332468	1894.0	3990.678476	6263.0	3676.202658	5384.0	9837.959251	6034.198355	4684.0	4730.054183	5302.146685	6908.131039	7155.420289	6346.0	5514.066876	10838.39379	3993.0
ADCY3	1976.0	1069.0	1491.0	2461.0	1484.0	2283.0	2722.0	2343.86357	1643.0	1548.0	2363.0	2065.0	2109.0	2433.0	1912.155775	3388.988764	1524.0
ADCY5	1891.0	1603.0	1855.0	3224.0	2005.0	2154.0	3527.0	2591.0	1851.0	1706.0	2661.0	2919.0	2714.0	3407.0	3064.0	3596.0	1918.0
ADCY6	889.0	871.0	1006.0	1344.0	744.0339726	1099.0	1398.0	946.0	752.0	684.0	1168.0	1042.0	1026.029551	1163.05065	1032.0	1637.0	847.0
ADCY7	399.0	318.0	312.0	616.0	723.0	1163.0	724.0	631.0	758.0	454.0	652.0	701.0	997.0	570.0	874.0	973.0	588.0
ADCY8	576.0	266.0	399.0	649.0	460.0	569.0	973.0	661.0	621.0	643.0	665.0	685.0	596.0	704.0	705.0	1141.0	553.0
ADCY9	919.0145169	517.0	1000.0	1531.0	960.0	1166.0	1654.0	1101.0202	890.0447114	916.0	1191.0	986.0	1423.0	1243.015321	1292.0	2014.0	1039.0
ADCYAP1	298.0	43.0	260.0	279.0	17.0	355.0	479.0	337.0	283.0	370.0	220.0	189.0	65.0	192.0	347.0	426.0	142.0
ADCYAP1R1	1587.92	508.0	1380.0	2176.0	1685.038375	1899.0	2940.0	2031.013657	1522.0	1768.009201	1893.800428	2332.0	2685.0	2290.0	2678.791312	3061.826625	1707.0
ADD1	8255.014862	2779.194465	5659.341215	10256.99251	5383.0	7872.0	11409.52729	9014.575756	6700.098863	7566.701921	8475.059173	10657.01461	7407.135735	12198.35192	9504.708427	12348.88385	5755.0
ADD2	3322.0	1400.0	3448.0	5972.0	807.0	4909.0	7621.0	5812.0	3863.0	3883.0	4612.0	4845.0	2140.0	5645.0	4613.0	7625.0	3108.0
ADD3	8651.200962	3030.0	7385.331632	10683.90777	9125.731313	9633.0	12393.86872	9325.743004	8960.059305	7662.105278	9336.340634	14513.53274	11531.33175	14561.63168	13288.70817	13879.46619	8568.0
ADFP	208.0	41.0	127.0	419.0	387.0	404.0	181.0	187.0	142.0	197.0	243.0	346.0	337.0	226.0	223.0	424.0	186.0
ADH1A	3.0	2.0	0.0	3.0	12.0	8.0	6.0	4.0	2.0	3.0	4.0	6.0	21.0	11.0	8.0	8.0	5.0
ADH1B	66.0	3.0	41.0	91.0	529.0104667	332.0	18.0	70.0	29.0	63.0	59.0	67.0	193.0	51.0	29.33643065	65.0	68.0
ADH1C	28.0	1.0	25.0	38.0	189.0	22.0	6.0	13.0	14.0	8.0	26.0	10.0	78.0	14.0	6.0	20.0	19.0
ADH4	5.0	0.0	5.0	3.0	5.0	6.0	11.0	3.0	3.0	3.0	2.0	8.0	15.0	4.0	11.0	5.0	2.0
ADH5	856.0	80.0	637.0	1031.0	626.0	1479.0	1695.0	1078.0	948.0	987.0	1030.0	1219.0	510.0	1199.0	1212.0	1575.0	729.0
ADH6	7.0	2.0	4.0	14.0	11.0	5.0	3.0	0.0	9.0	3.0	4.0	14.0	28.0	13.0	12.0	14.0	7.0
