GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
A1BG	0.847255151	3.154229039	1.486141203	1.311721839	1.306761802	1.058905867	1.249770005	1.116947401	1.000632206	0.849654278	1.143676123	1.510414254	2.234817557	1.312646817	1.759139574	1.354627234	1.927143429
A2M	59.4254312	31.47273194	86.07833925	55.53403796	138.3154348	100.9492511	47.48276182	32.68733779	61.75161277	83.01817271	50.56741891	82.44212705	83.03306072	99.25705594	91.75157233	56.41793738	80.57453471
NAT1	0.414798802	0.162828666	0.24097345	0.398159163	0.75553066	0.727852294	0.287389655	0.341521252	0.285193639	0.312610287	0.55992045	0.311306875	0.309751148	0.233460896	0.474638258	0.543229094	0.090272194
NAT2	0.037374936	0.0	0.05211028	0.0	0.051057121	0.251835788	0.044391243	0.134279358	0.115636601	0.042251049	0.302705665	0.152999582	0.0	0.112190438	0.096225068	0.271091022	0.0
SERPINA3	80.67606121	2.432713657	7.020433589	8.278507906	44.62238393	153.7089642	3.737815432	6.378049352	14.34720366	41.23443951	9.440116009	44.5547224	139.4857725	94.10901676	28.44810538	174.123445	22.67495446
AADAC	0.0	0.0	0.084989769	0.0	0.0	0.0	0.0	0.0	0.094299321	0.06890976	0.05485564	0.0	0.0	0.0	0.026156536	0.018422439	0.0
AAMP	39.77930613	28.96294178	31.21379948	43.71831935	20.05357037	52.22167489	44.5179373	43.28692554	38.94029856	38.57683782	42.40803857	34.82759348	26.92121516	38.90139919	39.43869152	45.26199227	34.21372331
AANAT	0.636712722	1.153572241	0.819453595	0.188052619	0.802892284	0.206261028	0.261775822	0.483906729	0.454607173	0.27683896	0.881511024	0.360896328	1.700703319	0.514568981	0.71455491	0.680897026	0.63954032
AARS	123.4826948	85.32661531	103.4572183	124.3283774	71.77895876	137.8746367	135.3737617	121.74325	118.4209925	100.3039771	137.1256506	92.96565193	126.1538557	107.9988387	92.3914209	134.8759272	107.2047049
ABAT	47.19900877	24.69057365	61.53275446	61.50624741	58.55499087	56.55696551	58.43947994	69.07930612	52.55461212	53.98819156	52.9010215	50.88626532	57.6597379	52.69382482	54.58483283	65.56871216	59.39770603
ABCA1	11.70643958	12.28210609	10.93777879	8.156678305	22.61714829	9.676345505	7.117555156	7.437615135	7.337980174	11.76139479	10.57577822	11.80000575	13.83927183	8.788771742	11.29896091	8.010100548	13.41987756
ABCA2	119.5372139	318.5811745	100.6645429	142.7678718	179.6618739	44.74515355	85.05627607	83.85698531	121.5414064	83.87200304	146.8141167	157.7029794	144.1354674	129.9072635	149.680403	88.0596591	152.8915262
ABCA3	25.76477228	36.8222903	35.36820465	33.29517626	25.0219723	25.556005	32.46527828	36.118706	26.52698863	28.99479461	33.82550885	27.68374036	31.43553235	31.72376244	30.9420634	34.44253296	34.21893036
ABCB7	14.20906048	9.828979359	11.92071142	13.40972759	14.68434479	13.81948888	10.79563636	10.58661953	12.63863091	11.25338566	13.82928601	13.88336432	13.3848877	13.70306681	12.57707152	14.40902719	13.02488133
ABCF1	5.748055353	9.084588595	6.212724446	6.181084039	6.399951272	5.126067126	5.988579216	5.827228163	5.772403251	4.957324157	6.488023315	5.895031839	6.681355114	5.937651276	5.523654448	5.774311474	5.839762001
ABCA4	0.193435124	1.108617074	0.602326302	0.569404807	0.66942748	0.211799869	0.340793212	0.237447029	0.359088454	0.379030759	0.226295681	0.274509389	0.440565623	0.425806361	0.81342577	0.296197303	0.522003633
ABL1	9.659776849	18.5937402	11.24843227	11.19324362	20.22788681	9.136565048	9.185405198	8.898606609	9.996354875	9.316069452	11.55094109	11.40046118	19.87546508	11.73718429	12.35356036	9.149549139	13.79834767
ABP1	0.014721935	0.0	0.03078925	0.011305092	0.020111329	0.00619986	0.008742824	0.006611557	0.0	0.016642629	0.019872557	0.0	0.057716454	0.0	0.01895146	0.004449266	0.028835263
ABL2	8.852843975	4.975049067	7.749287733	8.87738915	7.715225484	9.994543778	8.432155402	9.973312555	8.70956943	8.795456553	10.67491155	8.673650378	7.961356369	8.182759398	7.467993191	9.533730666	8.668523726
ABO	0.22330495	0.450812742	0.578211343	0.244968091	0.871577819	0.241818665	0.397838175	0.05730587	0.032899849	0.180313127	0.086122999	0.365652145	0.82185431	0.26333488	0.465410035	0.42420562	0.333240711
